datetime,level,message
2026-03-23T16:34:04.627027+00:00,INFO,"[Strategy] ENTRY XRPUSD BUY at 1.4319. Trigger range=(1.4229, 1.424), SL=1.4229, Target=2.4318999999999997"
2026-03-23T16:35:01.500642+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774271700, end=1774283700"
2026-03-23T16:35:02.237615+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T16:35:02.239460+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4242, sell_trigger=1.424, trigger_time=2026-03-23 13:16:00 UTC"
2026-03-23T16:36:00.868817+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774271760, end=1774283760"
2026-03-23T16:36:01.298456+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T16:36:01.299457+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4256, sell_trigger=1.4242, trigger_time=2026-03-23 13:17:00 UTC"
2026-03-23T16:37:20.502245+00:00,INFO,[Broker] Manual square-off sent for XRPUSD.
2026-03-23T16:38:38.665843+00:00,INFO,[Broker] Logging in to Delta API...
2026-03-23T16:38:39.832668+00:00,INFO,[Broker] Login successful.
2026-03-23T16:38:39.834689+00:00,INFO,[Broker] OHLC scheduler thread started.
2026-03-23T16:38:40.684720+00:00,INFO,[Broker] First run scheduled for XRPUSD (1m) at 2026-03-23T16:39:00+00:00
2026-03-23T16:38:40.687077+00:00,INFO,[Strategy] Open trade tracked for XRPUSD but no live position found. Resetting stale trade.
2026-03-23T16:41:15.910056+00:00,INFO,[Broker] Logging in to Delta API...
2026-03-23T16:41:16.766303+00:00,INFO,[Broker] Login successful.
2026-03-23T16:41:16.766844+00:00,INFO,[Broker] OHLC scheduler thread started.
2026-03-23T16:41:17.576424+00:00,INFO,[Broker] First run scheduled for XRPUSD (1m) at 2026-03-23T16:42:00+00:00
2026-03-23T16:42:01.161126+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272120, end=1774284120"
2026-03-23T16:42:01.720054+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:42:01.721053+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.4261, sell_trigger=1.426, trigger_time=2026-03-23 13:23:00 UTC"
2026-03-23T16:42:02.524908+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4316, buy_trigger=1.4261, sell_trigger=1.426, trigger_color=RED"
2026-03-23T16:42:03.929150+00:00,INFO,"[Strategy] ENTRY XRPUSD BUY at 1.4316. Trigger range=(1.426, 1.4261), SL=1.4257, Target=1.4816"
2026-03-23T16:43:01.105268+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272180, end=1774284180"
2026-03-23T16:43:01.834316+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T16:43:01.835892+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4269, sell_trigger=1.4261, trigger_time=2026-03-23 13:24:00 UTC"
2026-03-23T16:44:00.779421+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272240, end=1774284240"
2026-03-23T16:44:01.230375+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:44:01.231367+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.4265, sell_trigger=1.4248, trigger_time=2026-03-23 13:25:00 UTC"
2026-03-23T16:45:01.898859+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272300, end=1774284300"
2026-03-23T16:45:02.536015+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:45:02.536718+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.425, sell_trigger=1.4237, trigger_time=2026-03-23 13:26:00 UTC"
2026-03-23T16:46:00.768107+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272360, end=1774284360"
2026-03-23T16:46:01.167298+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T16:46:01.168281+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4251, sell_trigger=1.424, trigger_time=2026-03-23 13:27:00 UTC"
2026-03-23T16:46:43.459720+00:00,INFO,[Broker] Manual square-off sent for XRPUSD.
2026-03-23T16:46:43.461734+00:00,INFO,[Strategy] Manual close cooldown set for XRPUSD until 2026-03-23T16:47:00+00:00.
2026-03-23T16:47:01.048964+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272420, end=1774284420"
2026-03-23T16:47:01.523617+00:00,INFO,[Broker] Saved 199 candles to data/XRPUSD.csv
2026-03-23T16:47:01.525046+00:00,INFO,"[Strategy] Trigger set for XRPUSD (RED) -> buy_trigger=1.425, sell_trigger=1.4248, trigger_time=2026-03-23 13:28:00 UTC"
2026-03-23T16:47:01.799931+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4337, buy_trigger=1.425, sell_trigger=1.4248, trigger_color=RED"
2026-03-23T16:47:03.003266+00:00,INFO,"[Strategy] ENTRY XRPUSD BUY at 1.4337. Trigger range=(1.4248, 1.425), SL=1.4242, Target=1.4837"
2026-03-23T16:47:13.496117+00:00,INFO,[Broker] Manual square-off sent for XRPUSD.
2026-03-23T16:47:13.498628+00:00,INFO,[Strategy] Manual close cooldown set for XRPUSD until 2026-03-23T16:48:00+00:00.
2026-03-23T16:47:16.073492+00:00,INFO,[Broker] Strategy scheduler stopped by user.
2026-03-23T16:48:58.505971+00:00,INFO,[Broker] Logging in to Delta API...
2026-03-23T16:48:58.929899+00:00,INFO,[Broker] Login successful.
2026-03-23T16:48:58.931403+00:00,INFO,[Broker] OHLC scheduler thread started.
2026-03-23T16:48:59.435927+00:00,INFO,[Broker] First run scheduled for XRPUSD (1m) at 2026-03-23T16:49:00+00:00
2026-03-23T16:49:00.847218+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272540, end=1774284540"
2026-03-23T16:49:01.408500+00:00,INFO,[Broker] Saved 200 candles to data/XRPUSD.csv
2026-03-23T16:49:01.409485+00:00,INFO,"[Strategy] Trigger set for XRPUSD (GREEN) -> buy_trigger=1.4344, sell_trigger=1.4344, trigger_time=2026-03-23 22:18:00 IST"
2026-03-23T16:49:01.694465+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4344, buy_trigger=1.4344, sell_trigger=1.4344, trigger_color=GREEN"
2026-03-23T16:49:03.359903+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4344, buy_trigger=1.4344, sell_trigger=1.4344, trigger_color=GREEN"
2026-03-23T16:49:05.005469+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4344, buy_trigger=1.4344, sell_trigger=1.4344, trigger_color=GREEN"
2026-03-23T16:49:06.685421+00:00,INFO,"[Strategy] LTP check XRPUSD: ltp=1.4346, buy_trigger=1.4344, sell_trigger=1.4344, trigger_color=GREEN"
2026-03-23T16:49:08.174977+00:00,INFO,"[Strategy] ENTRY XRPUSD BUY at 1.4346. Trigger range=(1.4344, 1.4344), SL=1.4337, Target=1.4446"
2026-03-23T16:49:23.507687+00:00,INFO,[Broker] Manual square-off sent for XRPUSD.
2026-03-23T16:49:23.511234+00:00,INFO,[Strategy] Manual close cooldown set for XRPUSD until 2026-03-23T16:50:00+00:00.
2026-03-23T16:50:01.500203+00:00,INFO,"[Broker] Fetching data for symbol=XRPUSD, timeframe=1m, resolution=1m, start=1774272600, end=1774284600"
