date,time,open,high,low,close,volume,time_human,time_iso8601
2026-03-24 17:27:00+05:30,1774353420,1.4212,1.4228,1.4212,1.4226,30528.0,2026-03-24 17:27:00 IST,2026-03-24T17:27:00+05:30
2026-03-24 17:30:00+05:30,1774353600,1.423,1.423,1.4196,1.4202,8158.0,2026-03-24 17:30:00 IST,2026-03-24T17:30:00+05:30
2026-03-24 17:33:00+05:30,1774353780,1.42,1.42,1.4184,1.419,6460.0,2026-03-24 17:33:00 IST,2026-03-24T17:33:00+05:30
2026-03-24 17:36:00+05:30,1774353960,1.419,1.42,1.4189,1.4191,2224.0,2026-03-24 17:36:00 IST,2026-03-24T17:36:00+05:30
2026-03-24 17:39:00+05:30,1774354140,1.4198,1.4203,1.4183,1.4183,5818.0,2026-03-24 17:39:00 IST,2026-03-24T17:39:00+05:30
2026-03-24 17:42:00+05:30,1774354320,1.4189,1.4211,1.4187,1.4197,2062.0,2026-03-24 17:42:00 IST,2026-03-24T17:42:00+05:30
2026-03-24 17:45:00+05:30,1774354500,1.4197,1.4203,1.4191,1.4197,1880.0,2026-03-24 17:45:00 IST,2026-03-24T17:45:00+05:30
2026-03-24 17:48:00+05:30,1774354680,1.4192,1.42,1.4189,1.4194,7971.0,2026-03-24 17:48:00 IST,2026-03-24T17:48:00+05:30
2026-03-24 17:51:00+05:30,1774354860,1.4192,1.4197,1.4189,1.4189,8018.0,2026-03-24 17:51:00 IST,2026-03-24T17:51:00+05:30
2026-03-24 17:54:00+05:30,1774355040,1.4192,1.4205,1.4192,1.4202,6730.0,2026-03-24 17:54:00 IST,2026-03-24T17:54:00+05:30
2026-03-24 17:57:00+05:30,1774355220,1.4198,1.4201,1.419,1.4196,3230.0,2026-03-24 17:57:00 IST,2026-03-24T17:57:00+05:30
2026-03-24 18:00:00+05:30,1774355400,1.4192,1.4192,1.4173,1.4173,6046.0,2026-03-24 18:00:00 IST,2026-03-24T18:00:00+05:30
2026-03-24 18:03:00+05:30,1774355580,1.4172,1.4172,1.4134,1.416,78670.0,2026-03-24 18:03:00 IST,2026-03-24T18:03:00+05:30
2026-03-24 18:06:00+05:30,1774355760,1.4163,1.4165,1.4135,1.4154,11308.0,2026-03-24 18:06:00 IST,2026-03-24T18:06:00+05:30
2026-03-24 18:09:00+05:30,1774355940,1.4153,1.4166,1.4148,1.4163,9036.0,2026-03-24 18:09:00 IST,2026-03-24T18:09:00+05:30
2026-03-24 18:12:00+05:30,1774356120,1.4163,1.4175,1.416,1.416,30676.0,2026-03-24 18:12:00 IST,2026-03-24T18:12:00+05:30
2026-03-24 18:15:00+05:30,1774356300,1.4156,1.4174,1.4156,1.4163,12642.0,2026-03-24 18:15:00 IST,2026-03-24T18:15:00+05:30
2026-03-24 18:18:00+05:30,1774356480,1.4163,1.4163,1.4154,1.4163,4357.0,2026-03-24 18:18:00 IST,2026-03-24T18:18:00+05:30
2026-03-24 18:21:00+05:30,1774356660,1.416,1.4181,1.416,1.4171,12191.0,2026-03-24 18:21:00 IST,2026-03-24T18:21:00+05:30
2026-03-24 18:24:00+05:30,1774356840,1.4166,1.4174,1.4164,1.4166,2643.0,2026-03-24 18:24:00 IST,2026-03-24T18:24:00+05:30
2026-03-24 18:27:00+05:30,1774357020,1.416,1.4164,1.4154,1.4157,2634.0,2026-03-24 18:27:00 IST,2026-03-24T18:27:00+05:30
2026-03-24 18:30:00+05:30,1774357200,1.4154,1.4171,1.4151,1.4168,4984.0,2026-03-24 18:30:00 IST,2026-03-24T18:30:00+05:30
2026-03-24 18:33:00+05:30,1774357380,1.4163,1.4173,1.4152,1.417,27638.0,2026-03-24 18:33:00 IST,2026-03-24T18:33:00+05:30
2026-03-24 18:36:00+05:30,1774357560,1.4172,1.4175,1.4117,1.4127,86388.0,2026-03-24 18:36:00 IST,2026-03-24T18:36:00+05:30
