time,open,high,low,close,volume
1774262880,68395,68395,68342.5,68368.5,5028
1774262820,68383.5,68407,68372.5,68394,5398
1774262760,68380,68420,68380,68383.5,6674
1774262700,68389,68390.5,68365,68379,4620
1774262640,68346.5,68390,68343,68390,5255
1774262580,68400,68400,68342.5,68346.5,5343
1774262520,68303,68400.5,68303,68399,11017
1774262460,68281,68310,68280,68302,8472
1774262400,68300.5,68301.5,68267.5,68280,19143
1774262340,68386.5,68386.5,68288,68300.5,30562
1774262280,68384.5,68397,68374.5,68389,9164
1774262220,68399,68411,68375.5,68375.5,6005
1774262160,68447.5,68463,68395,68402.5,4924
1774262100,68393.5,68447.5,68389.5,68447.5,4904
1774262040,68444,68444,68385,68395,8081
1774261980,68435.5,68449.5,68435.5,68443,3957
1774261920,68396,68437.5,68381.5,68435,5595
1774261860,68420.5,68437,68395,68395,5284
1774261800,68436,68436,68388.5,68421.5,3758
1774261740,68427,68437,68425,68436,4989
1774261680,68419.5,68429,68384,68427,7804
1774261620,68452,68463,68419.5,68419.5,4746
1774261560,68442.5,68473,68427,68457.5,4936
1774261500,68419,68452.5,68409,68440,6092
1774261440,68404.5,68428.5,68404.5,68420,3674
1774261380,68411.5,68432,68382.5,68402.5,8775
1774261320,68423,68424,68382.5,68412.5,14225
1774261260,68447.5,68463.5,68418,68423,12321
1774261200,68498.5,68507,68446.5,68446.5,15990
1774261140,68584.5,68584.5,68492,68499.5,11921
1774261080,68582.5,68600.5,68565.5,68584.5,6992
1774261020,68571.5,68585,68552.5,68582.5,7580
1774260960,68551.5,68571.5,68534,68570.5,7555
1774260900,68574,68575,68550,68555,13838
1774260840,68629.5,68632.5,68566,68574,8125
1774260780,68640.5,68660,68600,68630,9770
1774260720,68681.5,68681.5,68634.5,68639,12220
1774260660,68600.5,68697,68593,68682.5,23723
1774260600,68594.5,68619,68557,68601.5,18356
1774260540,68485,68656.5,68484,68594.5,38804
1774260480,68444,68486.5,68436,68485,7982
1774260420,68458,68472,68416.5,68444,10745
1774260360,68472,68481.5,68450,68459,8900
1774260300,68413.5,68479.5,68413.5,68471,31701
1774260240,68359.5,68425.5,68345,68413.5,27856
1774260180,68377,68377,68280.5,68360.5,15854
1774260120,68277.5,68377,68276.5,68377,20729
1774260060,68329.5,68329.5,68273.5,68277.5,10239
1774260000,68311,68343,68304,68329.5,16535
1774259940,68240,68312,68237.5,68312,16001
1774259880,68260,68269.5,68233.5,68240,4746
1774259820,68255,68288.5,68248,68259,15449
1774259760,68180.5,68255,68168,68255,12237
1774259700,68156,68195.5,68156,68180.5,3448
1774259640,68165.5,68173.5,68144,68150,4660
1774259580,68155.5,68200,68155.5,68164.5,1853
1774259520,68189,68200,68138.5,68154,3027
1774259460,68192,68192,68168,68190.5,2460
1774259400,68171,68202,68171,68193,3381
1774259340,68147.5,68171,68137,68171,2687
1774259280,68197.5,68206,68155,68155,4112
1774259220,68193,68229.5,68180,68197.5,15757
1774259160,68150,68196.5,68142,68194,8469
1774259100,68117,68168,68112,68149,9603
1774259040,68104,68117,68077,68116,4481
1774258980,68094.5,68114,68094.5,68101,2456
1774258920,68168,68182.5,68095.5,68095.5,10748
1774258860,68047.5,68168,68036,68168,15361
1774258800,68079.5,68080.5,68041.5,68046.5,7299
1774258740,67953.5,68107,67953.5,68087,30204
1774258680,67910,67972.5,67894.5,67950,15507
1774258620,67939,67949,67886.5,67911,17780
1774258560,67935,67973.5,67925.5,67939.5,11708
1774258500,68002,68003,67934,67934,23264
1774258440,68051,68051,67988,68002,32549
1774258380,68124.5,68127.5,68036.5,68050,27792
1774258320,68173,68174,68118.5,68123.5,13626
1774258260,68192,68193,68164.5,68174,12797
1774258200,68225,68225,68192,68193,7194
1774258140,68206,68234,68196.5,68225,4306
1774258080,68201.5,68225.5,68187.5,68204.5,5918
1774258020,68182.5,68211,68166.5,68202.5,5961
1774257960,68154,68189,68153,68181.5,7030
1774257900,68178,68179,68117.5,68153,23455
1774257840,68323,68323.5,68169,68178,14395
1774257780,68305.5,68324.5,68300.5,68323.5,4772
1774257720,68302,68340,68302,68306.5,8595
1774257660,68254.5,68307,68230.5,68303,4810
1774257600,68242,68254.5,68208.5,68254.5,9285
1774257540,68244.5,68279,68242,68242,2606
1774257480,68269,68269,68217.5,68244.5,7792
1774257420,68313.5,68317,68270,68274,5105
1774257360,68254,68326,68254,68312,9376
1774257300,68261.5,68286.5,68245,68265,5141
1774257240,68249.5,68267,68240.5,68260.5,4358
1774257180,68228.5,68249.5,68220,68246,2776
1774257120,68248,68248,68227.5,68228.5,4332
1774257060,68252.5,68255,68224.5,68251,8215
1774257000,68267,68276,68236,68254,5635
1774256940,68225.5,68284.5,68208,68268,10741
1774256880,68232,68263,68222,68229,9783
1774256820,68217,68234.5,68187.5,68233,9105
1774256760,68228.5,68232.5,68184.5,68215.5,25358
1774256700,68275,68292.5,68209,68226.5,36363
1774256640,68316.5,68347.5,68275,68275,12463
1774256580,68399.5,68408.5,68310,68321,10172
1774256520,68355.5,68417,68355.5,68387,4323
1774256460,68392,68392,68321.5,68355.5,8853
1774256400,68424,68447,68393,68393,4150
1774256340,68438,68438,68406.5,68406.5,3272
1774256280,68433.5,68448.5,68432.5,68443.5,2448
1774256220,68375,68433.5,68375,68432.5,7800
1774256160,68370.5,68388,68298.5,68375,26223
1774256100,68417.5,68428.5,68357.5,68368,16245
1774256040,68479,68507.5,68419,68419,6454
1774255980,68481,68482,68454.5,68476,2586
1774255920,68469.5,68482,68462.5,68482,2149
1774255860,68405,68477,68402.5,68470.5,4201
1774255800,68418,68426,68384,68405,10260
1774255740,68466.5,68479.5,68416,68426,9650
1774255680,68495,68495,68459,68466.5,4790
